utterance_id,conversation_id,text,polite
3208,2099,Is it for a particular CPU (e.g. a Z80 or the Cell processor's SPU) or for some abstract CPU?,1
4458,4622,"What is an eastern style pot?  Is this a cup-like device with a lid to strain out the leaves (sorry, don't know the name), or something else entirely?",1
4888,5599,I didn't know that you had to use an email address instead of a username. When did that change?,0
3316,2295,I don't understand.  That call stack is all about the Debug Help Library; is this only happening when it is being debugged?,1
4005,3674,The last sentence makes me think that there is a bigger picture. What is it that you are really trying to do?,0
5358,6448,Any wisdom as to how to get the vinegar to not smell?,1
1519,360620,Do you live in the US? How excited are people about the album?,1
1984,374453,I think we're not going to convince each other today.  Thank you for the enjoyable debate :)  Should we just agree to disagree for now?,1
5320,6385,can you explain more please ?,1
1504,463602,"But, before you accuse me of shying away from your second to last question, my PhD is in inorganic chemistry, homogeneous catalysis to be specific, but my latest scientific paper was submitted (still with the reviewers) to ''<url>'': it touches on the metrological consequences of the microscopic quantization of ''Q'', as it happens, although that is not its main thrust. So, do you want to thrash this out among scientists, or would you prefer to waste your time with ArbCom?",0
3871,3404,Is the image an animated gif which finishes in less than a second?  Or is it corrupted?,1
2136,12505,"Hi Steve, I've added refs & cites to this article. Do you think it still needs a warning about lack of refs/citations?",1
1429,363579,"I read his note, and you should know that as I responded to it and then you responded to me. So where did the doubt come in regarding that matter?",0
935,430063,"PS, I would seriously like an answer to my question above. What is your native language and where do you come from?",0
55,383005,I have just put the article to peer review. Would you care to take a look?,1
4417,4543,I'm not sure that I understand the question. Can you please elaborate?,1
1573,623298,"As another aside, they are mostly Germans.  What's up with that?",0
2135,197104,I've started an article called <url>. Would you be able to do a good intro paragraph?,1
2009,3190,"Thank you for contacting me, the history has been restored given the link you provided.  Would you mind assisting with sourcing of the article so that it complies with <url> policy?",1
1482,630692,What do you think? Is there a mistake somewhere?,1
4659,5100,"Also, you say you are looking for a tool but it sounds like you are looking for an image format. Do you have a list of allowable formats?",0
1060,425115,"I'd be glad to help, if you like. How should we divide it, by section or by criteria?",1
3064,1831,"Thanks for the advice. Quick question, is the efficiency gain in both the where and sum methods?",1
4399,4497,"Sorry, we were discussing iPad, but we did go through the overall state of Apple's products. Can you please address the other parts of the question?",0
